OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,RACE,SEX,CIT_AGE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM
1,9,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/22,01:00:00,Operations Division,Southeast District,SE Late Tactical Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,3918,Sherman Towne,Road,,Indianapolis,4,Unknown,Unknown,,1403,White,Male,46,12,13-907
2,9,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/22,01:00:00,Operations Division,Southeast District,SE Late Tactical Shift,,Use of Force,Unreasonable Force (Weapon),Exonerated,Incident Location,3918,Sherman Towne,Road,,Indianapolis,4,Unknown,Unknown,,1403,White,Male,46,12,13-907
3,9,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/22,01:00:00,Operations Division,Southeast District,SE Late Tactical Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,3918,Sherman Towne,Road,,Indianapolis,4,Unknown,Unknown,,1403,White,Male,46,12,30411
4,9,Citizen Complaint,Call For Service,CPCO (Informal),2013/12/22,01:00:00,Operations Division,Southeast District,SE Late Tactical Shift,,Use of Force,Unreasonable Force (Weapon),Exonerated,Incident Location,3918,Sherman Towne,Road,,Indianapolis,4,Unknown,Unknown,,1403,White,Male,46,12,30411
5,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2664,Hispanic,Male,50,10,14-001
6,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2664,Hispanic,Male,50,10,14-001
7,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2664,Hispanic,Male,50,10,30455
8,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2664,Hispanic,Male,50,10,30455
9,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2664,Hispanic,Male,50,10,I133522715
10,10,Citizen Complaint,,CPCO (Formal),2013/12/18,21:46:00,Operations Division,East District,Ed Late Shift,,Citizen Interaction,"Rude, discourteous, or insulting language",Not Sustained,Incident Location,4200,Mitthoefer,Road,N,Indianapolis,5,Black,Female,33,2664,Hispanic,Male,50,10,I133522715
