FID,JURISDCTN,DISTRICT,BEAT,CCGIS_POLI,SHAPE_Leng,SHAPE_Area,Shape__Area,Shape__Length
1,IMPD,Southwest,SW63,0,69689.3335593,241952359.342,37969645.9492188,27607.7632233492
2,IMPD,Southwest,SW52,0,46634.8291941,103862243.493,16342053.6835938,18498.8724895671
3,IMPD,Southwest,SW73,0,67178.9212617,209865786.092,32942195.5390625,26628.750206964
4,IMPD,Southwest,SW61,0,59248.4036694,144693264.527,22730293.5390625,23479.9438171502
5,IMPD,North,ND62,0,51548.0047514,121066742.878,19117933.4140625,20478.7066185254
6,IMPD,North,ND51,0,62516.3247457,130950504.831,20677688.234375,24863.738484004
7,IMPD,North,ND21,0,35187.894948,39362393.8177,6208025.87109375,13970.3074267678
8,IMPD,North,MH,0,36474.2350166,40419587.0279,6385785.44921875,14504.974186971
9,IMPD,North,WC,0,15459.1584463,9862527.56845,1558759.53125,6150.26516588785
10,IMPD,North,ND53,0,77620.3840629,131467721.637,20784353.7148438,30865.7214733941
11,IMPD,Northwest,NW71,0,85160.4741819,408945561.137,64610144.421875,33865.6179011829
12,IMPD,Northwest,NW62,0,37064.4051661,61843944.704,9763026.5,14715.409128032
13,IMPD,Northwest,NW51,0,49494.5288414,118413307.861,18681286.9960938,19657.4332647668
14,IMPD,Northwest,NW41,0,86469.914771,234852068.764,37008617.6953125,34323.3280323492
15,IMPD,Northwest,NW42,0,68341.8997121,173934276.279,27437307.3203125,27146.5582488476
16,IMPD,Northwest,NW33,0,32123.2979234,51923790.0045,8191946.03515625,12758.8233880322
17,IMPD,Northwest,NW32,0,28518.1618591,41890043.2871,6605200.75390625,11329.2372867829
18,IMPD,Northwest,NW31,0,26535.5938502,36793761.7014,5801683.80859375,10545.4057481949
19,IMPD,Northwest,NW11,0,32651.2603422,57892026.5744,9120938.75,12955.0286753291
20,IMPD,Northwest,NW12,0,34006.0497455,53859075.1878,8489961.1484375,13504.1101291556
21,IMPD,Northwest,NW21,0,34236.5000085,61423176.8737,9679344.609375,13587.0371477469
22,IMPD,Northwest,NW22,0,39510.3705269,45447765.2319,7165660.54296875,15687.9097233739
23,IMPD,Northwest,NW72,0,59815.7734252,224216996.292,35438689.1523438,23781.2604543641
24,IMPD,Northwest,NW63,0,33846.406895,60004648.9251,9476562.79296875,13442.4060595451
25,IMPD,Northwest,NW82,0,43643.787279,115786693.308,18306310.125,17352.0002345658
26,IMPD,Northwest,NW81,0,50011.2802515,84466063.7409,13341517.2148438,19893.7319625611
27,IMPD,Northwest,NW61,0,39226.7256844,85206260.0514,13453104.4648438,15588.1074673521
28,IMPD,Northwest,NW52,0,37486.823189,59759113.2059,9429221.109375,14890.1600226747
29,IMPD,Downtown,DT22,0,20047.8007234,23482446.0422,3696290.69921875,7955.81073670278
30,IMPD,Downtown,DT21,0,20853.9861086,26046580.3177,4101760.54296875,8277.89884895556
31,IMPD,Downtown,DT12,0,23739.6556615,25902813.4734,4077347.4765625,9422.76408958228
