OBJECTID,INCNUM,SERVICE_TYPE,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,SEX,RACE,CIT_AGE,CIT_WEAPON,CIT_COND_TYPE,OFFNUM,OFF_WEAPON,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
1,65755,,2020/11/14,02:25:00,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND AGG ASSAULT,HOMICIDE SECTION,Homicide Unit (Late),,,,,,Indianapolis,27962,Male,White,26,,Gunshot Wound,3523,IMPD - Duty Handgun,Hispanic,Male,,,No injuries noted or visible
2,65755,,2020/11/14,02:25:00,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND AGG ASSAULT,HOMICIDE SECTION,Homicide Unit (Late),,,,,,Indianapolis,27962,Male,White,26,,Gunshot Wound,3521,IMPD - Duty Handgun,Hispanic,Male,,,No injuries noted or visible
3,70835,,2021/05/29,15:40:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,,,,,Indianapolis,31204,M,B,22,Suspect - Handgun,Gunshot Wound,3564,IMPD - Duty Handgun,White,Male,,,No injuries noted or visible
4,70835,,2021/05/29,15:40:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,,,,,Indianapolis,31204,M,B,22,Suspect - Handgun,Gunshot Wound,3524,IMPD - Duty Handgun,White,Male,,,No injuries noted or visible
5,70835,,2021/05/29,15:40:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,,,,,Indianapolis,31204,M,B,22,Suspect - Handgun,Gunshot Wound,3870,IMPD - Duty Handgun,Black,Male,,,No injuries noted or visible
6,70835,,2021/05/29,15:40:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,,,,,Indianapolis,31204,M,B,22,Suspect - Handgun,Gunshot Wound,3269,IMPD - Duty Handgun,White,Male,,,No injuries noted or visible
7,70835,,2021/05/29,15:40:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,,,,,,Indianapolis,31204,M,B,22,Suspect - Handgun,Gunshot Wound,3501,IMPD - Duty Handgun,White,Male,,,No injuries noted or visible
8,73590,,2022/08/20,03:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,,,,,,Indianapolis,32963,Male,Black,21,Suspect - Handgun,No injuries noted or visible,3613,IMPD - Duty Handgun,White,Male,,,
9,69175,,2021/09/29,22:25:00,OPERATIONS DIVISION,NORTH DISTRICT,NEIGHBORHOOD IMPACT,VIOLENCE REDUCTION TEAM,,,,,,Indianapolis,33114,Female,Black,31,Suspect - Handgun,Gunshot Wound,2238,IMPD - Duty Handgun,White,Male,,,No injuries noted or visible
10,66076,,2021/01/30,02:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,,,,,,Indianapolis,5753,Male,White,32,IMPD - Duty Handgun,Gunshot Wound,3687,IMPD - Duty Handgun,White,Male,,,
11,52868,,2020/05/06,18:00:00,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,STAFFING POOL,ADMINISTRATIVE DISCRETION,,6201,Michigan,Road,N,Indianapolis,25402,Male,Black,22,Suspect - Handgun,Gunshot Wound,3456,IMPD - Duty Handgun,Black,Male,,,No injuries noted or visible
12,69177,,2021/05/14,,"OVERSIGHT, AUDIT & PERFORMANCE",INTERNAL AFFAIRS,Internal Affairs Section,,,,,,,Indianapolis,35238,Male,Black,49,,,3689,IMPD - Duty Handgun,Black,Male,,,
13,69177,,2021/05/14,,"OVERSIGHT, AUDIT & PERFORMANCE",INTERNAL AFFAIRS,Internal Affairs Section,,,,,,,Indianapolis,35238,Male,Black,49,,,3719,IMPD - Duty Handgun,White,Male,,,
14,69177,,2021/05/14,,"OVERSIGHT, AUDIT & PERFORMANCE",INTERNAL AFFAIRS,Internal Affairs Section,,,,,,,Indianapolis,35238,Male,Black,49,,,3640,IMPD - Patrol Rifle,Hispanic,Male,,,
15,72113,,2021/09/01,,"OVERSIGHT, AUDIT & PERFORMANCE",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,36632,Male,Black,34,,Death,2648,Personal Shotgun,White,Male,,,
16,72113,,2021/09/01,,"OVERSIGHT, AUDIT & PERFORMANCE",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,36632,Male,Black,34,,Death,2399,IMPD - Duty Handgun,White,Male,,,
17,74622,,2021/05/31,04:55:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,31205,Male,Black,36,Suspect - Knife,Gunshot Wound,3923,IMPD - Duty Handgun,White,Male,,,Gunshot Wound
18,74622,,2021/05/31,04:55:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,31205,Male,Black,36,Suspect - Knife,Gunshot Wound,3905,IMPD - Duty Handgun,Hispanic,Male,,,No injuries noted or visible
19,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,IMPD - Duty Handgun,Death,3967,IMPD - Duty Handgun,White,Male,,,
20,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,Suspect - Handgun,Death,3967,IMPD - Duty Handgun,White,Male,,,
21,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,IMPD - Duty Handgun,Gunshot Wound,3967,IMPD - Duty Handgun,White,Male,,,
22,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,Suspect - Handgun,Gunshot Wound,3967,IMPD - Duty Handgun,White,Male,,,
23,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,IMPD - Duty Handgun,Death,3269,IMPD - Duty Handgun,White,Male,,,
24,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,Suspect - Handgun,Death,3269,IMPD - Duty Handgun,White,Male,,,
25,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,IMPD - Duty Handgun,Gunshot Wound,3269,IMPD - Duty Handgun,White,Male,,,
26,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,Suspect - Handgun,Gunshot Wound,3269,IMPD - Duty Handgun,White,Male,,,
27,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,IMPD - Duty Handgun,Death,4057,IMPD - Duty Handgun,White,Male,,,
28,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,Suspect - Handgun,Death,4057,IMPD - Duty Handgun,White,Male,,,
29,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,IMPD - Duty Handgun,Gunshot Wound,4057,IMPD - Duty Handgun,White,Male,,,
30,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,Suspect - Handgun,Gunshot Wound,4057,IMPD - Duty Handgun,White,Male,,,
31,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,IMPD - Duty Handgun,Death,3961,IMPD - Duty Handgun,White,Male,,,
32,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,Suspect - Handgun,Death,3961,IMPD - Duty Handgun,White,Male,,,
33,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,IMPD - Duty Handgun,Gunshot Wound,3961,IMPD - Duty Handgun,White,Male,,,
34,72187,,2021/09/24,14:48:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,35615,Female,White,36,Suspect - Handgun,Gunshot Wound,3961,IMPD - Duty Handgun,White,Male,,,
35,70859,,2021/12/01,01:15:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,28749,Male,Black,20,IMPD - Duty Handgun,Gunshot Wound,289,Suspect - Knife,White,Male,,,Knife Wound
36,70859,,2021/12/01,01:15:00,"TRAINING, POLICY & OVERSIGHT",INTERNAL AFFAIRS,Internal Affairs Section,Internal Affairs Unit,,,,,,Indianapolis,28749,Male,Black,20,IMPD - Duty Handgun,Gunshot Wound,3767,Suspect - Knife,White,Male,,,Knife Wound
37,25089,,2017/12/13,13:39:00,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,SWAT SECTION,,,2122,Spann,Avenue,E,Indianapolis,14709,Male,Black,39,Suspect - Handgun,Gunshot Wound,745,IMPD - Shotgun,White,Male,48,22,No injuries noted or visible
38,25089,,2017/12/13,13:39:00,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,SWAT SECTION,,,2122,Spann,Avenue,E,Indianapolis,14709,Male,Black,39,Suspect - Handgun,Gunshot Wound,424,IMPD SWAT - Machine Gun,White,Male,41,19,No injuries noted or visible
39,25089,,2017/12/13,13:39:00,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,SWAT SECTION,,,2122,Spann,Avenue,E,Indianapolis,14709,Male,Black,39,Suspect - Handgun,Gunshot Wound,3018,IMPD SWAT - Machine Gun,White,Male,34,7,No injuries noted or visible
